DATE,WPU01130217
1/1/1947,139.8
2/1/1947,96.3
3/1/1947,153.1
4/1/1947,179.9
5/1/1947,139.7
6/1/1947,96.8
7/1/1947,52.3
8/1/1947,38.9
9/1/1947,65.4
10/1/1947,90.8
11/1/1947,136.3
12/1/1947,127.2
1/1/1948,170.1
2/1/1948,120.3
3/1/1948,118.5
4/1/1948,132.8
5/1/1948,105.9
6/1/1948,87.4
7/1/1948,77.8
8/1/1948,62.5
9/1/1948,66.3
10/1/1948,91
11/1/1948,123
12/1/1948,94.4
1/1/1949,130.6
2/1/1949,102.2
3/1/1949,96.8
4/1/1949,95.4
5/1/1949,123.1
6/1/1949,70.5
7/1/1949,48.5
8/1/1949,38.6
9/1/1949,56.7
10/1/1949,84.6
11/1/1949,122.3
12/1/1949,82.6
1/1/1950,58.8
2/1/1950,73.3
3/1/1950,76.3
4/1/1950,103.2
5/1/1950,74.4
6/1/1950,139
7/1/1950,92.1
8/1/1950,44.1
9/1/1950,55.4
10/1/1950,90.5
11/1/1950,110.2
12/1/1950,139.7
1/1/1951,147.9
2/1/1951,118.3
3/1/1951,121.1
4/1/1951,105.3
5/1/1951,132.6
6/1/1951,91.6
7/1/1951,62.2
8/1/1951,45.8
9/1/1951,105.4
10/1/1951,96.2
11/1/1951,122.4
12/1/1951,128.2
1/1/1952,103
2/1/1952,100.5
3/1/1952,97.6
4/1/1952,102.7
5/1/1952,84.5
6/1/1952,134.9
7/1/1952,74
8/1/1952,62
9/1/1952,93.1
10/1/1952,99.3
11/1/1952,111.6
12/1/1952,178.7
1/1/1953,59.2
2/1/1953,81.6
3/1/1953,120
4/1/1953,115.5
5/1/1953,73.3
6/1/1953,167.9
7/1/1953,60.9
8/1/1953,62.1
9/1/1953,62.1
10/1/1953,99.3
11/1/1953,111.1
12/1/1953,125.7
1/1/1954,85.6
2/1/1954,112.9
3/1/1954,80.6
4/1/1954,.
5/1/1954,88.1
6/1/1954,61.3
7/1/1954,89.6
8/1/1954,.
9/1/1954,.
10/1/1954,95
11/1/1954,111.6
12/1/1954,75.7
1/1/1955,54.6
2/1/1955,88.8
3/1/1955,91.3
4/1/1955,.
5/1/1955,129
6/1/1955,103.7
7/1/1955,68
8/1/1955,89.9
9/1/1955,105.8
10/1/1955,74.4
11/1/1955,131.8
12/1/1955,68
1/1/1956,144.4
2/1/1956,95.4
3/1/1956,178.6
4/1/1956,64.1
5/1/1956,58.9
6/1/1956,101.1
7/1/1956,63.2
8/1/1956,33.7
9/1/1956,47.8
10/1/1956,.
11/1/1956,.
12/1/1956,101.6
1/1/1957,104.2
2/1/1957,74.1
3/1/1957,58.4
4/1/1957,108.5
5/1/1957,155.9
6/1/1957,96
7/1/1957,37
8/1/1957,52.2
9/1/1957,48.2
10/1/1957,91.4
11/1/1957,107.9
12/1/1957,83.4
1/1/1958,125.1
2/1/1958,119.3
3/1/1958,240.1
4/1/1958,191
5/1/1958,94.4
6/1/1958,41.9
7/1/1958,57.9
8/1/1958,40.5
9/1/1958,39
10/1/1958,73.9
11/1/1958,81.3
12/1/1958,106.4
1/1/1959,101.7
2/1/1959,103.3
3/1/1959,63.5
4/1/1959,98.2
5/1/1959,109.1
6/1/1959,72.7
7/1/1959,46.2
8/1/1959,48.6
9/1/1959,73.5
10/1/1959,82.7
11/1/1959,110.2
12/1/1959,169.9
1/1/1960,147
2/1/1960,57.8
3/1/1960,104.2
4/1/1960,109.3
5/1/1960,151.6
6/1/1960,85.3
7/1/1960,48.9
8/1/1960,37.6
9/1/1960,46.8
10/1/1960,62.6
11/1/1960,88.8
12/1/1960,92.5
1/1/1961,56.4
2/1/1961,63.4
3/1/1961,122.3
4/1/1961,79.1
5/1/1961,58.7
6/1/1961,118.9
7/1/1961,84.5
8/1/1961,65.1
9/1/1961,42.1
10/1/1961,65.6
11/1/1961,89.4
12/1/1961,71.5
1/1/1962,112.4
2/1/1962,109.3
3/1/1962,100.3
4/1/1962,70.2
5/1/1962,111.3
6/1/1962,99.2
7/1/1962,44.7
8/1/1962,56.2
9/1/1962,37.2
10/1/1962,77.9
11/1/1962,93.8
12/1/1962,107.5
1/1/1963,139.1
2/1/1963,97.8
3/1/1963,62.9
4/1/1963,68.8
5/1/1963,72.9
6/1/1963,78.1
7/1/1963,93.4
8/1/1963,59.5
9/1/1963,38.7
10/1/1963,47.8
11/1/1963,149.4
12/1/1963,129.4
1/1/1964,96.2
2/1/1964,101.9
3/1/1964,115.7
4/1/1964,110
5/1/1964,70.5
6/1/1964,112.9
7/1/1964,70.7
8/1/1964,72.9
9/1/1964,60.2
10/1/1964,59
11/1/1964,112.7
12/1/1964,77.7
1/1/1965,75.1
2/1/1965,70.3
3/1/1965,138.2
4/1/1965,174.5
5/1/1965,162.5
6/1/1965,81.9
7/1/1965,82.9
8/1/1965,53.1
9/1/1965,62.8
10/1/1965,68.7
11/1/1965,107.8
12/1/1965,124.8
1/1/1966,103.7
2/1/1966,77.3
3/1/1966,98.3
4/1/1966,182.7
5/1/1966,70.3
6/1/1966,82.5
7/1/1966,109.9
8/1/1966,65.7
9/1/1966,73
10/1/1966,65.3
11/1/1966,97.5
12/1/1966,116.9
1/1/1967,77.3
2/1/1967,132.8
3/1/1967,98
4/1/1967,97.2
5/1/1967,108.7
6/1/1967,108.4
7/1/1967,195.7
8/1/1967,58.5
9/1/1967,46.7
10/1/1967,76.1
11/1/1967,73.7
12/1/1967,73.7
1/1/1968,.
2/1/1968,182.6
3/1/1968,112.4
4/1/1968,.
5/1/1968,108.3
6/1/1968,112.1
7/1/1968,50.5
8/1/1968,86.2
9/1/1968,89.9
10/1/1968,60.7
11/1/1968,121.1
12/1/1968,145.6
1/1/1969,.
2/1/1969,.
3/1/1969,93.5
4/1/1969,.
5/1/1969,172
6/1/1969,93.4
7/1/1969,61.6
8/1/1969,71.5
9/1/1969,105
10/1/1969,88
11/1/1969,107.4
12/1/1969,149.6
1/1/1970,.
2/1/1970,.
3/1/1970,.
4/1/1970,129.3
5/1/1970,140.4
6/1/1970,112.8
7/1/1970,120
8/1/1970,48.3
9/1/1970,67.9
10/1/1970,56.9
11/1/1970,89.5
12/1/1970,105.8
1/1/1971,135.2
2/1/1971,.
3/1/1971,.
4/1/1971,114.1
5/1/1971,147.5
6/1/1971,161
7/1/1971,110.4
8/1/1971,87.3
9/1/1971,76.2
10/1/1971,84.4
11/1/1971,104.7
12/1/1971,204.4
1/1/1972,218.6
2/1/1972,124.6
3/1/1972,94.3
4/1/1972,97.4
5/1/1972,179.4
6/1/1972,179.4
7/1/1972,97.4
8/1/1972,146.2
9/1/1972,150.2
10/1/1972,61.6
11/1/1972,173.7
12/1/1972,100.6
1/1/1973,244.9
2/1/1973,120.8
3/1/1973,126
4/1/1973,168.4
5/1/1973,113.6
6/1/1973,126.4
7/1/1973,202.3
8/1/1973,105.2
9/1/1973,94.4
10/1/1973,121.9
11/1/1973,102
12/1/1973,146.2
1/1/1974,118.8
2/1/1974,318
3/1/1974,154.3
4/1/1974,210.8
5/1/1974,178.6
6/1/1974,176.9
7/1/1974,121.1
8/1/1974,127.8
9/1/1974,64.7
10/1/1974,72.3
11/1/1974,283.2
12/1/1974,147.1
1/1/1975,234.4
2/1/1975,194.6
3/1/1975,164.2
4/1/1975,228.6
5/1/1975,140.4
6/1/1975,235.3
7/1/1975,136.1
8/1/1975,123.9
9/1/1975,173.8
10/1/1975,173.8
11/1/1975,106.9
12/1/1975,181.3
1/1/1976,186.5
2/1/1976,.
3/1/1976,.
4/1/1976,181.8
5/1/1976,181.8
6/1/1976,76.3
7/1/1976,70.5
8/1/1976,.
9/1/1976,.
10/1/1976,93.3
11/1/1976,.
12/1/1976,.
1/1/1977,.
2/1/1977,140.9
3/1/1977,124.4
4/1/1977,126.4
5/1/1977,80.8
6/1/1977,62.2
7/1/1977,94
8/1/1977,78.8
9/1/1977,67.4
10/1/1977,78.8
11/1/1977,120.2
12/1/1977,87.1
1/1/1978,120.2
2/1/1978,74.6
3/1/1978,95.3
4/1/1978,161.7
5/1/1978,140.9
6/1/1978,87.1
7/1/1978,91.2
8/1/1978,60.1
9/1/1978,70.5
10/1/1978,72.5
11/1/1978,87.1
12/1/1978,70.5
1/1/1979,95.3
2/1/1979,124.4
3/1/1979,97.4
4/1/1979,145.1
5/1/1979,70.5
6/1/1979,92.6
7/1/1979,66.8
8/1/1979,88.1
9/1/1979,72.5
10/1/1979,109.8
11/1/1979,145.1
12/1/1979,78.8
1/1/1980,103.6
2/1/1980,78.8
3/1/1980,85
4/1/1980,103.6
5/1/1980,87.1
6/1/1980,111.9
7/1/1980,73.9
8/1/1980,93.3
9/1/1980,95.3
10/1/1980,120.2
11/1/1980,76.7
12/1/1980,74.6
1/1/1981,111.9
2/1/1981,178.2
3/1/1981,257
4/1/1981,161.7
5/1/1981,58
6/1/1981,78.8
7/1/1981,103.6
8/1/1981,93.7
9/1/1981,107.8
10/1/1981,103.6
11/1/1981,74.6
12/1/1981,72.5
1/1/1982,87.1
2/1/1982,123.7
3/1/1982,132.9
4/1/1982,73.3
5/1/1982,77.9
6/1/1982,148.9
7/1/1982,114.5
8/1/1982,58
9/1/1982,65.3
10/1/1982,96.2
11/1/1982,121.4
12/1/1982,100.8
1/1/1983,77.9
2/1/1983,112.2
3/1/1983,217.6
4/1/1983,142
5/1/1983,132.9
6/1/1983,73.3
7/1/1983,95.1
8/1/1983,67
9/1/1983,87.1
10/1/1983,155.8
11/1/1983,87.1
12/1/1983,68.7
1/1/1984,114.5
2/1/1984,187.8
3/1/1984,160.4
4/1/1984,93.9
5/1/1984,87.1
6/1/1984,105.4
7/1/1984,87.1
8/1/1984,135.9
9/1/1984,.
10/1/1984,93.9
11/1/1984,77.9
12/1/1984,59.6
1/1/1985,75.6
2/1/1985,91.6
3/1/1985,169.5
4/1/1985,217.6
5/1/1985,59.6
6/1/1985,68.7
7/1/1985,93.9
8/1/1985,99.3
9/1/1985,80.2
10/1/1985,98.5
11/1/1985,87.1
12/1/1985,132.9
1/1/1986,132.9
2/1/1986,77.9
3/1/1986,123.7
4/1/1986,114.5
5/1/1986,105.4
6/1/1986,68.7
7/1/1986,93.9
8/1/1986,80.9
9/1/1986,75.6
