Date	Value
Nov 1, 2017	2,579.36
Oct 1, 2017	2,521.20
Sep 1, 2017	2,472.86
Aug 1, 2017	2,488.64
Jul 1, 2017	2,450.03
Jun 1, 2017	2,447.00
May 1, 2017	2,407.16
Apr 1, 2017	2,379.47
Mar 1, 2017	2,394.60
Feb 1, 2017	2,359.18
Jan 1, 2017	2,310.95
Dec 1, 2016	2,295.31
Nov 1, 2016	2,212.62
Oct 1, 2016	2,186.76
Sep 1, 2016	2,204.48
Aug 1, 2016	2,223.36
Jul 1, 2016	2,202.62
Jun 1, 2016	2,132.52
May 1, 2016	2,120.81
Apr 1, 2016	2,139.75
Mar 1, 2016	2,094.39
Feb 1, 2016	1,981.14
Jan 1, 2016	1,997.53
Dec 1, 2015	2,142.12
Nov 1, 2015	2,162.39
Oct 1, 2015	2,099.94
Sep 1, 2015	2,015.65
Aug 1, 2015	2,111.32
Jul 1, 2015	2,164.42
Jun 1, 2015	2,169.89
May 1, 2015	2,190.61
Apr 1, 2015	2,183.97
Mar 1, 2015	2,172.87
Feb 1, 2015	2,188.13
Jan 1, 2015	2,140.62
Dec 1, 2014	2,157.95
Nov 1, 2014	2,135.58
Oct 1, 2014	2,012.58
Sep 1, 2014	2,065.51
Aug 1, 2014	2,034.19
Jul 1, 2014	2,042.77
Jun 1, 2014	2,015.06
May 1, 2014	1,959.38
Apr 1, 2014	1,939.68
Mar 1, 2014	1,945.30
Feb 1, 2014	1,909.00
Jan 1, 2014	1,921.67
Dec 1, 2013	1,913.38
Nov 1, 2013	1,887.57
Oct 1, 2013	1,816.63
Sep 1, 2013	1,777.34
Aug 1, 2013	1,761.39
Jul 1, 2013	1,762.02
Jun 1, 2013	1,709.99
May 1, 2013	1,736.41
Apr 1, 2013	1,666.16
Mar 1, 2013	1,643.65
Feb 1, 2013	1,606.74
Jan 1, 2013	1,585.72
Dec 1, 2012	1,527.98
Nov 1, 2012	1,494.10
Oct 1, 2012	1,533.21
Sep 1, 2012	1,538.58
Aug 1, 2012	1,502.65
Jul 1, 2012	1,464.00
Jun 1, 2012	1,422.59
May 1, 2012	1,439.60
Apr 1, 2012	1,486.32
Mar 1, 2012	1,493.84
Feb 1, 2012	1,465.36
Jan 1, 2012	1,415.33
Dec 1, 2011	1,358.97
Nov 1, 2011	1,337.19
Oct 1, 2011	1,315.15
Sep 1, 2011	1,276.19
Aug 1, 2011	1,290.57
Jul 1, 2011	1,446.85
Jun 1, 2011	1,406.72
May 1, 2011	1,460.90
Apr 1, 2011	1,460.32
Mar 1, 2011	1,439.90
Feb 1, 2011	1,472.47
Jan 1, 2011	1,436.61
Dec 1, 2010	1,397.21
Nov 1, 2010	1,351.54
Oct 1, 2010	1,321.31
Sep 1, 2010	1,267.06
Aug 1, 2010	1,228.48
Jul 1, 2010	1,221.71
Jun 1, 2010	1,226.00
